Designator,Mid X,Mid Y,Rotation,Layer
C1002,43.75,59.5,270,top
C1003,41.25,59.5,90,top
C1004,40.25,51.55,270,top
C1005,42.375,51.55,270,top
C1006,40,59.5,90,top
C1007,39.175,51.55,90,top
C1008,39.655,46.75,0,top
C1010,35,35.75,90,top
C1011,44.75,28,135,top
C1012,43,44.5,270,top
C1101,25.75,76.25,180,top
C1102,25.75,73.75,0,top
C1103,23,74.25,270,top
C1104,23,66.75,270,top
C1105,21,74.25,90,top
C1106,25.75,72.5,0,top
C1201,51.73,76.25,180,top
C1202,51.73,73.75,0,top
C1203,49,74.25,270,top
C1204,49,66.75,270,top
C1205,47,74.27,90,top
C1206,51.75,72.5,0,top
C1301,7.27,64.75,0,top
C1302,7.25,67.25,180,top
C1303,10,66.75,90,top
C1304,10,74.25,90,top
C1305,12.25,66.77,270,top
C1306,7.25,68.5,180,top
C1401,33.23,64.75,0,top
C1402,33.23,67.25,180,top
C1403,36,66.75,90,top
C1404,36,74.2,90,top
C1405,38.25,66.77,270,top
C1406,33.25,68.5,180,top
C1501,14.5,98,270,top
C1502,19.25,95,90,top
C1503,17.75,82.71,270,top
C1504,12.75,82.71,270,top
C1601,40.5,98,270,top
C1602,45.25,95,90,top
C1603,38.75,82.725,270,top
C1604,43.75,82.75,270,top
C201,66.5,50.75,0,top
C202,66.5,54.75,0,top
C203,72.5,50.75,180,top
C204,72.5,54.75,180,top
C205,74.25,62.5,90,top
C207,66.75,67.9,0,top
C208,66.75,70.9,0,top
C209,72.25,67.9,180,top
C210,72.25,70.9,180,top
C211,84,50.75,0,top
C212,84,54.75,0,top
C213,90,50.75,180,top
C214,90,54.75,180,top
C215,91.75,62.5,90,top
C216,80.75,64.5,270,top
C217,84.25,67.9,0,top
C218,84.25,70.9,0,top
C219,89.75,67.9,180,top
C220,89.75,70.9,180,top
C301,69.75,40.25,0,top
C302,69.75,39.125,0,top
C303,71.5,39.75,270,top
C304,65.969,39.153,180,top
C305,72.3,43,90,top
C306,64.76,43,90,top
C307,75,25.8,90,top
C308,82.75,26.25,0,top
C309,80.5,33.75,180,top
C601,61.75,15.25,180,top
C602,62.75,18.25,0,top
C603,62.5,25,0,top
C604,59.75,18.25,180,top
C701,28,27.98,270,top
C702,25.5,27.98,90,top
C801,54,28,270,top
C802,51.5,27.98,90,top
C902,17.75,59.52,270,top
C903,15.25,59.52,90,top
